region1,region2,exp_cap,log_exp_cap,perc_urban,perc_formal,perc_smp,perc_sma
Indonesia Barat,Sumatera,1070587.5,13.883718,.32369307,.50275594,.54191762,.38512906
Indonesia Barat,Sumatera,1071430.4,13.884505,.42358726,.28966522,.39365825,.22923933
Indonesia Barat,Sumatera,1071972.9,13.885012,.31064048,.38399473,.37464297,.21240595
Indonesia Barat,Sumatera,1074207.9,13.887094,.8205753,.65324926,.5350467,.36771867
Indonesia Barat,Sumatera,1075383.9,13.888188,0,.31910646,.36810839,.23271129
Indonesia Barat,Sumatera,1083700.8,13.895892,.15086217,.28610495,.33787388,.19837104
Indonesia Barat,Sumatera,1085891.4,13.897912,.99635398,.63430685,.56135094,.41371858
Indonesia Barat,Sumatera,1092687.6,13.904151,.3116602,.25125101,.51072884,.33751178
Indonesia Barat,Sumatera,1093086.9,13.904516,.49553201,.45015317,.41856176,.28104821
Indonesia Barat,Sumatera,1095262,13.906505,1,.58228719,.61985528,.45204949
Indonesia Barat,Sumatera,1102521.3,13.91311,.99999994,.56659251,.5639745,.38330236
Indonesia Barat,Sumatera,1110135.5,13.919992,.83097094,.6055432,.48167333,.34425926
Indonesia Barat,Sumatera,1110176.5,13.92003,.49728578,.51746505,.32540473,.19324067
Indonesia Barat,Sumatera,1110948.4,13.920725,.21134473,.45886222,.40483522,.23554453
Indonesia Barat,Sumatera,1111795.6,13.921487,.56013924,.49511099,.3525613,.22317708
Indonesia Barat,Sumatera,1120607.6,13.929381,.08962474,.44667077,.47940686,.31461138
Indonesia Barat,Sumatera,1130478.1,13.938151,.15064667,.39699998,.44187537,.2723088
Indonesia Barat,Sumatera,1137741.3,13.944555,.30477417,.25527149,.46394265,.2878316
Indonesia Barat,Sumatera,1146996.3,13.952657,.24962883,.45560762,.40176022,.24181187
Indonesia Barat,Sumatera,1152306.8,13.957276,.096992016,.46044749,.36232537,.21522507
Indonesia Barat,Sumatera,1158996.8,13.963065,.24291539,.15352738,.49448857,.3143689
Indonesia Barat,Sumatera,1175529.3,13.977229,.72005081,.64188993,.38248581,.23403479
Indonesia Barat,Sumatera,1176064.5,13.977684,.1486647,.40185243,.39346391,.21921113
Indonesia Barat,Sumatera,1184355.5,13.98471,.81418031,.59919637,.50451124,.36617297
Indonesia Barat,Sumatera,1187456.3,13.987324,0,.2744652,.45935237,.3353903
Indonesia Barat,Sumatera,1196357.9,13.994792,.72060543,.57485807,.48681268,.3369633
Indonesia Barat,Sumatera,1198763.8,13.996801,0,0,,
